id,DS,AM Pizza Rack,PM Pizza Racks,gf,vegan,vgf,sales,pizza,notes,weather
206,2015-08-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
207,2015-08-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
208,2015-08-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
209,2015-08-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
210,2015-08-11,20,20,0,0,0,12934.7,“needs logging”,“none recorded”,“none recorded”
211,2015-08-12,23,22,0,0,0,13734.75,“needs logging”,“none recorded”,“none recorded”
212,2015-08-13,20,18,0,0,0,11674.92,“needs logging”,“none recorded”,“none recorded”
213,2015-08-14,29,28,0,0,0,17081.9,“needs logging”,“none recorded”,“none recorded”
214,2015-08-15,31.5,24.5,0,0,0,18623.11,“needs logging”,“none recorded”,“none recorded”
215,2015-08-16,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
216,2015-08-17,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
217,2015-08-18,18,17,0,0,0,10908.64,“needs logging”,“none recorded”,“none recorded”
218,2015-08-19,16,17,0,0,0,10693.5,“needs logging”,“none recorded”,“none recorded”
219,2015-08-20,20,17.5,0,0,0,10774.25,“needs logging”,“none recorded”,“none recorded”
220,2015-08-21,33,27,0,0,0,17081.9,“needs logging”,“none recorded”,“none recorded”
221,2015-08-22,37,30,0,0,0,20791.55,“needs logging”,“none recorded”,“none recorded”
222,2015-08-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
223,2015-08-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
224,2015-08-25,16,19,0,0,0,10516,“needs logging”,“none recorded”,“none recorded”
225,2015-08-26,17,17,0,0,0,11360.4,“needs logging”,“none recorded”,“none recorded”
226,2015-08-27,18.5,19,0,0,0,11945.75,“needs logging”,“none recorded”,“none recorded”
227,2015-08-28,29,24,0,0,0,14318.5,“needs logging”,“none recorded”,“none recorded”
228,2015-08-29,35.5,30,0,0,0,20076.75,“needs logging”,“none recorded”,“none recorded”
229,2015-08-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
230,2015-08-31,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
231,2015-09-01,16,17,0,0,0,10333.25,“needs logging”,“none recorded”,“none recorded”
232,2015-09-02,14.5,16.5,0,0,0,9467.01,“needs logging”,“none recorded”,“none recorded”
233,2015-09-03,17,19,0,0,0,10560,“needs logging”,“none recorded”,“none recorded”
234,2015-09-04,27.5,29.5,0,0,0,17263.08,“needs logging”,“none recorded”,“none recorded”
235,2015-09-05,34,29,0,0,0,18885.4,“needs logging”,“none recorded”,“none recorded”
236,2015-09-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
237,2015-09-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
238,2015-09-08,8,10,0,0,0,7539.85,“needs logging”,“none recorded”,“none recorded”
239,2015-09-09,17,16,0,0,0,,“needs logging”,“none recorded”,“none recorded”
240,2015-09-10,14,14.5,0,0,0,8892.54,“needs logging”,“none recorded”,“none recorded”
241,2015-09-11,23,26.5,0,0,0,14760.75,“needs logging”,“none recorded”,“none recorded”
242,2015-09-12,30,20,0,0,0,"15,485.10",“needs logging”,“none recorded”,“none recorded”
243,2015-09-13,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
244,2015-09-14,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
245,2015-09-15,15,18,0,0,0,9882,“needs logging”,“none recorded”,“none recorded”
246,2015-09-16,14,14.5,0,0,0,8665,“needs logging”,“none recorded”,“none recorded”
247,2015-09-17,20,17,0,0,0,10829,“needs logging”,“none recorded”,“none recorded”
248,2015-09-18,25.5,25.5,0,0,0,14787,“needs logging”,“none recorded”,“none recorded”
249,2015-09-19,29,26,0,0,0,16760,“needs logging”,“none recorded”,“none recorded”
250,2015-09-20,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
251,2015-09-21,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
252,2015-09-22,13,16,0,0,0,9021,“needs logging”,“none recorded”,“none recorded”
253,2015-09-23,17,17,0,0,0,10232.8,“needs logging”,“none recorded”,“none recorded”
254,2015-09-24,18,21,0,0,0,12014,“needs logging”,“none recorded”,“none recorded”
255,2015-09-25,24,24,0,0,0,13583.9,“needs logging”,“none recorded”,“none recorded”
256,2015-09-26,36,24,0,0,0,17298.35,“needs logging”,“none recorded”,“none recorded”
257,2015-09-27,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
258,2015-09-28,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
259,2015-09-29,15,16,0,0,0,10177.1,“needs logging”,“none recorded”,“none recorded”
260,2015-09-30,14,15.5,0,0,0,9551.01,“needs logging”,“none recorded”,“none recorded”
261,2015-10-01,16,17.5,0,0,0,9944.25,“needs logging”,“none recorded”,“none recorded”
262,2015-10-02,25,26,0,0,0,15037.51,“needs logging”,“none recorded”,“none recorded”
263,2015-10-03,27,24,0,0,0,16701.5,“needs logging”,“none recorded”,“none recorded”
264,2015-10-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
265,2015-10-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
266,2015-10-06,14.5,16.5,0,0,0,9182.1,“needs logging”,“none recorded”,“none recorded”
267,2015-10-07,14.5,16.5,0,0,0,9599.75,“needs logging”,“none recorded”,“none recorded”
268,2015-10-08,16,15,0,0,0,9463.75,“needs logging”,“none recorded”,“none recorded”
269,2015-10-09,24,27,0,0,0,15217,“needs logging”,“none recorded”,“none recorded”
270,2015-10-10,35,28,0,0,0,18262,“needs logging”,“none recorded”,“none recorded”
271,2015-10-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
272,2015-10-12,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
273,2015-10-13,14,16,0,0,0,9219.51,“needs logging”,“none recorded”,“none recorded”
274,2015-10-14,15.5,15,0,0,0,9400,“needs logging”,“none recorded”,“none recorded”
275,2015-10-15,14,21,0,0,0,10197,“needs logging”,“none recorded”,“none recorded”
276,2015-10-16,25.5,26.5,0,0,0,15908,“needs logging”,“none recorded”,“none recorded”
277,2015-10-17,35,25,0,0,0,17272,“needs logging”,“none recorded”,“none recorded”
278,2015-10-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
279,2015-10-19,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
280,2015-10-20,15.5,15.5,0,0,0,9445.11,“needs logging”,“none recorded”,“none recorded”
281,2015-10-21,15,14,0,0,0,8387.9,“needs logging”,“none recorded”,“none recorded”
282,2015-10-22,16,17.5,0,0,0,9736,“needs logging”,“none recorded”,“none recorded”
283,2015-10-23,24.5,26,0,0,0,14975.7,“needs logging”,“none recorded”,“none recorded”
284,2015-10-24,39,33,0,0,0,20389,“needs logging”,“none recorded”,“none recorded”
285,2015-10-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
286,2015-10-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
287,2015-10-27,13.5,13,0,0,0,7949,“needs logging”,“none recorded”,“none recorded”
288,2015-10-28,14,15.5,0,0,0,8390.5,“needs logging”,“none recorded”,“none recorded”
289,2015-10-29,16,17.75,0,0,0,10113.9,“needs logging”,“none recorded”,“none recorded”
290,2015-10-30,28,27,0,0,0,15705.95,“needs logging”,“none recorded”,“none recorded”
291,2015-10-31,32.5,27,0,0,0,17238.12,“needs logging”,“none recorded”,“none recorded”
292,2015-11-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
293,2015-11-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
294,2015-11-03,13.5,14,0,0,0,8410.5,“needs logging”,“none recorded”,“none recorded”
295,2015-11-04,15.5,14.5,0,0,0,8919.25,“needs logging”,“none recorded”,“none recorded”
296,2015-11-05,16,15,0,0,0,8439,“needs logging”,“none recorded”,“none recorded”
297,2015-11-06,27,18,0,0,0,13973.51,“needs logging”,“none recorded”,“none recorded”
298,2015-11-07,29.5,23,0,0,0,15072,“needs logging”,“none recorded”,“none recorded”
299,2015-11-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
300,2015-11-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
301,2015-11-10,14,15,0,0,0,8253.75,“needs logging”,“none recorded”,“none recorded”
302,2015-11-11,21,14,0,0,0,10819.3,“needs logging”,“none recorded”,“none recorded”
303,2015-11-12,15.5,17,0,0,0,9228,“needs logging”,“none recorded”,“none recorded”
304,2015-11-13,23,22.75,0,0,0,13783,“needs logging”,“none recorded”,“none recorded”
305,2015-11-14,32.5,24.5,0,0,0,16657.85,“needs logging”,“none recorded”,“none recorded”
306,2015-11-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
307,2015-11-16,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
308,2015-11-17,17.5,12.5,0,0,0,9152,“needs logging”,“none recorded”,“none recorded”
309,2015-11-18,13,15.5,0,0,0,9105,“needs logging”,“none recorded”,“none recorded”
310,2015-11-19,16,15.5,0,0,0,9292.8,“needs logging”,“none recorded”,“none recorded”
311,2015-11-20,21,20,0,0,0,11530,“needs logging”,“none recorded”,“none recorded”
312,2015-11-21,34,27,0,0,0,17594,“needs logging”,“none recorded”,“none recorded”
