id,DS,AM Pizza Rack,PM Pizza Racks,gf,vegan,vgf,sales,pizza,notes,weather
3337,2016-03-25,30,26,0,0,0,15534,“needs logging”,“none recorded”,“none recorded”
3338,2016-03-26,36,26,0,0,0,19404,“needs logging”,“none recorded”,“none recorded”
3339,2016-03-27,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3340,2016-03-28,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3341,2016-03-29,20.5,18,0,0,0,11843,“needs logging”,“none recorded”,“none recorded”
3342,2016-03-30,20.5,17,0,0,0,11639,“needs logging”,“none recorded”,“none recorded”
3343,2016-03-31,19.5,18.5,0,0,0,11416,“needs logging”,“none recorded”,“none recorded”
3344,2016-04-01,25,20,0,0,0,16084,“needs logging”,“none recorded”,“none recorded”
3345,2016-04-02,33,27.5,0,0,0,20863,“needs logging”,“none recorded”,“none recorded”
3346,2016-04-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3347,2016-04-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3348,2016-04-05,16.5,15.5,0,0,0,11226,“needs logging”,“none recorded”,“none recorded”
3349,2016-04-06,17,18,0,0,0,12259,“needs logging”,“none recorded”,“none recorded”
3350,2016-04-07,16,18,0,0,0,11483,“needs logging”,“none recorded”,“none recorded”
3351,2016-04-08,24,23.5,0,0,0,15365,“needs logging”,“none recorded”,“none recorded”
3352,2016-04-09,32,21,0,0,0,16329,“needs logging”,“none recorded”,“none recorded”
3353,2016-04-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3354,2016-04-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3355,2016-04-12,14,14,0,0,0,9596,“needs logging”,“none recorded”,“none recorded”
3356,2016-04-13,18,16,0,0,0,11004,“needs logging”,“none recorded”,“none recorded”
3357,2016-04-14,19,18,0,0,0,13520,“needs logging”,“none recorded”,“none recorded”
3358,2016-04-15,24,24,0,0,0,15311,“needs logging”,“none recorded”,“none recorded”
3359,2016-04-16,33,26,0,0,0,20159,“needs logging”,“none recorded”,“none recorded”
3360,2016-04-17,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3361,2016-04-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3362,2016-04-19,13,,0,0,0,4866,“needs logging”,“none recorded”,“none recorded”
3363,2016-04-20,15,17,0,0,0,11181,“needs logging”,“none recorded”,“none recorded”
3364,2016-04-21,19,18.5,0,0,0,11567,“needs logging”,“none recorded”,“none recorded”
3365,2016-04-22,26.5,23.5,0,0,0,14097,“needs logging”,“none recorded”,“none recorded”
3366,2016-04-23,35,26,0,0,0,21428,“needs logging”,“none recorded”,“none recorded”
3367,2016-04-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3368,2016-04-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3369,2016-04-26,14,15.5,0,0,0,11027,“needs logging”,“none recorded”,“none recorded”
3370,2016-04-27,15,16,0,0,0,10317,“needs logging”,“none recorded”,“none recorded”
3371,2016-04-28,18,18,0,0,0,12611,“needs logging”,“none recorded”,“none recorded”
3372,2016-04-29,37,30,0,0,0,16400,“needs logging”,“none recorded”,“none recorded”
3373,2016-04-30,30,27,0,0,0,19327,“needs logging”,“none recorded”,“none recorded”
3374,2016-05-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3375,2016-05-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3376,2016-05-03,15,16.5,0,0,0,11115,“needs logging”,“none recorded”,“none recorded”
3377,2016-05-04,19,19,0,0,0,11728,“needs logging”,“none recorded”,“none recorded”
3378,2016-05-05,16,15,0,0,0,10430,“needs logging”,“none recorded”,“none recorded”
3379,2016-05-06,23,20.5,0,0,0,13797,“needs logging”,“none recorded”,“none recorded”
3380,2016-05-07,44,35,0,0,0,24881.5,“needs logging”,“none recorded”,“none recorded”
3381,2016-05-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3382,2016-05-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3383,2016-05-10,16,15,0,0,0,10848,“needs logging”,“none recorded”,“none recorded”
3384,2016-05-11,17,15.5,0,0,0,10282,“needs logging”,“none recorded”,“none recorded”
3385,2016-05-12,17.5,19.5,0,0,0,12343.52,“needs logging”,“none recorded”,“none recorded”
3386,2016-05-13,31,30,0,0,0,20524,“needs logging”,“none recorded”,“none recorded”
3387,2016-05-14,38,30,0,0,0,23947,“needs logging”,“none recorded”,“none recorded”
3388,2016-05-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3389,2016-05-16,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3390,2016-05-17,18.5,21,0,0,0,13178,“needs logging”,“none recorded”,“none recorded”
3391,2016-05-18,18,18.5,0,0,0,11992,“needs logging”,“none recorded”,“none recorded”
3392,2016-05-19,21.5,20,0,0,0,13739,“needs logging”,“none recorded”,“none recorded”
3393,2016-05-20,25.5,25.5,0,0,0,16677.9,“needs logging”,“none recorded”,“none recorded”
3394,2016-05-21,34.5,25,0,0,0,18819.5,“needs logging”,“none recorded”,“none recorded”
3395,2016-05-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3396,2016-05-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3397,2016-05-24,18,16,0,0,0,10708,“needs logging”,“none recorded”,“none recorded”
3398,2016-05-25,16.5,15,0,0,0,10469,“needs logging”,“none recorded”,“none recorded”
3399,2016-05-26,19,18.5,0,0,0,12148,“needs logging”,“none recorded”,“none recorded”
3400,2016-05-27,27.5,28,0,0,0,17818,“needs logging”,“none recorded”,“none recorded”
3401,2016-05-28,30,30,0,0,0,20857,“needs logging”,“none recorded”,“none recorded”
3402,2016-05-29,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3403,2016-05-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3404,2016-05-31,17,16,0,0,0,11266,“needs logging”,“none recorded”,“none recorded”
3405,2016-06-01,18,14,0,0,0,11266,“needs logging”,“none recorded”,“none recorded”
3406,2016-06-02,18,17,0,0,0,11340,“needs logging”,“none recorded”,“none recorded”
3407,2016-06-03,24,26,0,0,0,16093,“needs logging”,“none recorded”,“none recorded”
3408,2016-06-04,32,24,0,0,0,18512,“needs logging”,“none recorded”,“none recorded”
3409,2016-06-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3410,2016-06-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3411,2016-06-07,18,16,0,0,0,10672,“needs logging”,“none recorded”,“none recorded”
3412,2016-06-08,18,20,0,0,0,11932,“needs logging”,“none recorded”,“none recorded”
3413,2016-06-09,21,21,0,0,0,13013,“needs logging”,“none recorded”,“none recorded”
3414,2016-06-10,26,24,0,0,0,16123,“needs logging”,“none recorded”,“none recorded”
3415,2016-06-11,30,25.5,0,0,0,18297,“needs logging”,“none recorded”,“none recorded”
3416,2016-06-12,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3417,2016-06-13,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3418,2016-06-14,17,17,0,0,0,12002,“needs logging”,“none recorded”,“none recorded”
3419,2016-06-15,21,15,0,0,0,11768,“needs logging”,“none recorded”,“none recorded”
3420,2016-06-16,24,27.5,0,0,0,14789,“needs logging”,“none recorded”,“none recorded”
3421,2016-06-17,28,25,0,0,0,16290,“needs logging”,“none recorded”,“none recorded”
3422,2016-06-18,24,21,0,0,0,16994,“needs logging”,“none recorded”,“none recorded”
3423,2016-06-19,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3424,2016-06-20,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3425,2016-06-21,16,15.5,0,0,0,10950,“needs logging”,“none recorded”,“none recorded”
3426,2016-06-22,16.5,14.5,0,0,0,10293,“needs logging”,“none recorded”,“none recorded”
3427,2016-06-23,19,15.5,0,0,0,12140,“needs logging”,“none recorded”,“none recorded”
3428,2016-06-24,26,26,0,0,0,17298,“needs logging”,“none recorded”,“none recorded”
3429,2016-06-25,37,29,0,0,0,21650,“needs logging”,“none recorded”,“none recorded”
3430,2016-06-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3431,2016-06-27,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3432,2016-06-28,17.5,15.5,0,0,0,11000,“needs logging”,“none recorded”,“none recorded”
3433,2016-06-29,18,15,0,0,0,11294,“needs logging”,“none recorded”,“none recorded”
3434,2016-06-30,16.5,15,0,0,0,11150,“needs logging”,“none recorded”,“none recorded”
3435,2016-07-01,30,25,0,0,0,17008,“needs logging”,“none recorded”,“none recorded”
3436,2016-07-02,34,25,0,0,0,20714,“needs logging”,“none recorded”,“none recorded”
3437,2016-07-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3438,2016-07-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3439,2016-07-05,16.5,14.5,0,0,0,10160,“needs logging”,“none recorded”,“none recorded”
3440,2016-07-06,17,16,0,0,0,11593,“needs logging”,“none recorded”,“none recorded”
3441,2016-07-07,21,21,0,0,0,13149,“needs logging”,“none recorded”,“none recorded”
3442,2016-07-08,26.5,24,0,0,0,17036,“needs logging”,“none recorded”,“none recorded”
3443,2016-07-09,33,24,0,0,0,18847,“needs logging”,“none recorded”,“none recorded”
3444,2016-07-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3445,2016-07-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3446,2016-07-12,18,17.5,0,0,0,12080,“needs logging”,“none recorded”,“none recorded”
3447,2016-07-13,18,17.5,0,0,0,11839,“needs logging”,“none recorded”,“none recorded”
3448,2016-07-14,18,15,0,0,0,11720,“needs logging”,“none recorded”,“none recorded”
3449,2016-07-15,27,26,0,0,0,18604,“needs logging”,“none recorded”,“none recorded”
3450,2016-07-16,33.5,24.5,0,0,0,19022,“needs logging”,“none recorded”,“none recorded”
3451,2016-07-17,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3452,2016-07-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3453,2016-07-19,17,19,0,0,0,12144.88,“needs logging”,“none recorded”,“none recorded”
3454,2016-07-20,16,16,0,0,0,11111.3,“needs logging”,“none recorded”,“none recorded”
3455,2016-07-21,17,16,0,0,0,11198.95,“needs logging”,“none recorded”,“none recorded”
3456,2016-07-22,26,21,0,0,0,17224,“needs logging”,“none recorded”,“none recorded”
3457,2016-07-23,32,29,0,0,0,20515,“needs logging”,“none recorded”,“none recorded”
3458,2016-07-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3459,2016-07-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3460,2016-07-26,16,20,0,0,0,12000,“needs logging”,“none recorded”,“none recorded”
3461,2016-07-27,18.5,20,0,0,0,13120,“needs logging”,“none recorded”,“none recorded”
3462,2016-07-28,19,19,0,0,0,13007,“needs logging”,“none recorded”,“none recorded”
3463,2016-07-29,28,30.5,0,0,0,19176,“needs logging”,“none recorded”,“none recorded”
3464,2016-07-30,35,28,0,0,0,20595,“needs logging”,“none recorded”,“none recorded”
3465,2016-07-31,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3466,2016-08-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3467,2016-08-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3468,2016-08-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3469,2016-08-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3470,2016-08-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3471,2016-08-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3472,2016-08-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3473,2016-08-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3474,2016-08-09,19,19,0,0,0,13647,“needs logging”,“none recorded”,“none recorded”
3475,2016-08-10,17,17,0,0,0,11888,“needs logging”,“none recorded”,“none recorded”
3476,2016-08-11,20,24.5,0,0,0,15343,“needs logging”,“none recorded”,“none recorded”
3477,2016-08-12,27,27,0,0,0,18206,“needs logging”,“none recorded”,“none recorded”
3478,2016-08-13,34.5,25.5,0,0,0,20306,“needs logging”,“none recorded”,“none recorded”
3479,2016-08-14,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3480,2016-08-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3481,2016-08-16,19.5,17.5,0,0,0,12896,“needs logging”,“none recorded”,“none recorded”
3482,2016-08-17,18,15.5,0,0,0,11414,“needs logging”,“none recorded”,“none recorded”
3483,2016-08-18,18.5,17.5,0,0,0,12727,“needs logging”,“none recorded”,“none recorded”
3484,2016-08-19,27,26,0,0,0,17299,“needs logging”,“none recorded”,“none recorded”
3485,2016-08-20,38.5,31,0,0,0,21923,“needs logging”,“none recorded”,“none recorded”
3486,2016-08-21,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3487,2016-08-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3488,2016-08-23,19,18,0,0,0,12678,“needs logging”,“none recorded”,“none recorded”
3489,2016-08-24,21,20,0,0,0,14099,“needs logging”,“none recorded”,“none recorded”
3490,2016-08-25,22,19,0,0,0,13870,“needs logging”,“none recorded”,“none recorded”
3491,2016-08-26,23,26,0,0,0,15127,“needs logging”,“none recorded”,“none recorded”
3492,2016-08-27,31,26,0,0,0,19388,“needs logging”,“none recorded”,“none recorded”
3493,2016-08-28,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3494,2016-08-29,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3495,2016-08-30,16,15,0,0,0,10811,“needs logging”,“none recorded”,“none recorded”
3496,2016-08-31,15,17,0,0,0,10906,“needs logging”,“none recorded”,“none recorded”
3497,2016-09-01,20,19,0,0,0,11890,“needs logging”,“none recorded”,“none recorded”
3498,2016-09-02,28.5,30.5,0,0,0,18811.81,“needs logging”,“none recorded”,“none recorded”
3499,2016-09-03,33,29,0,0,0,22011.31,“needs logging”,“none recorded”,“none recorded”
3500,2016-09-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3501,2016-09-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3502,2016-09-06,11.5,13.5,0,0,0,9135.66,“needs logging”,“none recorded”,“none recorded”
3503,2016-09-07,16,15,0,0,0,10095.75,“needs logging”,“none recorded”,“none recorded”
3504,2016-09-08,16,15.5,0,0,0,10499.59,“needs logging”,“none recorded”,“none recorded”
3505,2016-09-09,25,26,0,0,0,15541.58,“needs logging”,“none recorded”,“none recorded”
3506,2016-09-10,30,29,0,0,0,21467.9,“needs logging”,“none recorded”,“none recorded”
3507,2016-09-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3508,2016-09-12,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3509,2016-09-13,13.5,16.5,0,0,0,9592.75,“needs logging”,“none recorded”,“none recorded”
3510,2016-09-14,13.5,14,0,0,0,10265,“needs logging”,“none recorded”,“none recorded”
3511,2016-09-15,18,20,0,0,0,13077,“needs logging”,“none recorded”,“none recorded”
3512,2016-09-16,26,22,0,0,0,15064,“needs logging”,“none recorded”,“none recorded”
3513,2016-09-17,35,25,0,0,0,18922.5,“needs logging”,“none recorded”,“none recorded”
3514,2016-09-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3515,2016-09-19,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3516,2016-09-20,13,12.5,0,0,0,9204,“needs logging”,“none recorded”,“none recorded”
3517,2016-09-21,16,19,0,0,0,11107,“needs logging”,“none recorded”,“none recorded”
3518,2016-09-22,17,20,0,0,0,12156,“needs logging”,“none recorded”,“none recorded”
3519,2016-09-23,19,22,0,0,0,14303,“needs logging”,“none recorded”,“none recorded”
3520,2016-09-24,31,24,0,0,0,18435,“needs logging”,“none recorded”,“none recorded”
3521,2016-09-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3522,2016-09-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3523,2016-09-27,13.5,13,0,0,0,9204,“needs logging”,“none recorded”,“none recorded”
3524,2016-09-28,14.5,16,0,0,0,10204,“needs logging”,“none recorded”,“none recorded”
3525,2016-09-29,16,16,0,0,0,10800,“needs logging”,“none recorded”,“none recorded”
3526,2016-09-30,24.5,24.5,0,0,0,16169.7,“needs logging”,“none recorded”,“none recorded”
3527,2016-10-01,33,29.5,0,0,0,20502,“needs logging”,“none recorded”,“none recorded”
3528,2016-10-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3529,2016-10-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3530,2016-10-04,14,16,0,0,0,10389,“needs logging”,“none recorded”,“none recorded”
3531,2016-10-05,15,15,0,0,0,9513,“needs logging”,“none recorded”,“none recorded”
3532,2016-10-06,17,16,0,0,0,11581,“needs logging”,“none recorded”,“none recorded”
3533,2016-10-07,22,21.5,0,0,0,13855,“needs logging”,“none recorded”,“none recorded”
3534,2016-10-08,28,25,0,0,0,17738,“needs logging”,“none recorded”,“none recorded”
3535,2016-10-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3536,2016-10-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3537,2016-10-11,15.5,13.5,0,0,0,10218,“needs logging”,“none recorded”,“none recorded”
3538,2016-10-12,14,15,0,0,0,9830,“needs logging”,“none recorded”,“none recorded”
3539,2016-10-13,15,18,0,0,0,10130,“needs logging”,“none recorded”,“none recorded”
3540,2016-10-14,24,24,0,0,0,13843,“needs logging”,“none recorded”,“none recorded”
3541,2016-10-15,33,21.5,0,0,0,17104,“needs logging”,“none recorded”,“none recorded”
3542,2016-10-16,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3543,2016-10-17,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3544,2016-10-18,18,20,0,0,0,12450,“needs logging”,“none recorded”,“none recorded”
3545,2016-10-19,19,22,0,0,0,12447,“needs logging”,“none recorded”,“none recorded”
3546,2016-10-20,16.5,21,0,0,0,12004.9,“needs logging”,“none recorded”,“none recorded”
3547,2016-10-21,26.5,24.5,0,0,0,16165.97,“needs logging”,“none recorded”,“none recorded”
3548,2016-10-22,36.5,32.5,0,0,0,20589.3,“needs logging”,“none recorded”,“none recorded”
3549,2016-10-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3550,2016-10-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3551,2016-10-25,15.25,15.5,0,0,0,10118.9,“needs logging”,“none recorded”,“none recorded”
3552,2016-10-26,16,16,0,0,0,10826,“needs logging”,“none recorded”,“none recorded”
3553,2016-10-27,12.5,11,0,0,0,7769,“needs logging”,“none recorded”,“none recorded”
3554,2016-10-28,22.5,21.5,0,0,0,13596,“needs logging”,“none recorded”,“none recorded”
3555,2016-10-29,30.5,21,0,0,0,17506.15,“needs logging”,“none recorded”,“none recorded”
3556,2016-10-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3557,2016-10-31,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3558,2016-11-01,15,14.5,0,0,0,9500,“needs logging”,“none recorded”,“none recorded”
3559,2016-11-02,14.5,13.5,0,0,0,9308,“needs logging”,“none recorded”,“none recorded”
3560,2016-11-03,18,17.5,0,0,0,11346,“needs logging”,“none recorded”,“none recorded”
3561,2016-11-04,26,24.5,0,0,0,15524,“needs logging”,“none recorded”,“none recorded”
3562,2016-11-05,29.5,20,0,0,0,17174,“needs logging”,“none recorded”,“none recorded”
3563,2016-11-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3564,2016-11-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3565,2016-11-08,29.5,22,0,0,0,12600,“needs logging”,“none recorded”,“none recorded”
3566,2016-11-09,17,15,0,0,0,9786,“needs logging”,“none recorded”,“none recorded”
3567,2016-11-10,14.5,16.5,0,0,0,10364,“needs logging”,“none recorded”,“none recorded”
3568,2016-11-11,23.5,17.5,0,0,0,13055,“needs logging”,“none recorded”,“none recorded”
3569,2016-11-12,37,24,0,0,0,19375,“needs logging”,“none recorded”,“none recorded”
3570,2016-11-13,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3571,2016-11-14,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3572,2016-11-15,15,14,0,0,0,8766,“needs logging”,“none recorded”,“none recorded”
3573,2016-11-16,15.5,12,0,0,0,9100,“needs logging”,“none recorded”,“none recorded”
3574,2016-11-17,16,12.5,0,0,0,8850,“needs logging”,“none recorded”,“none recorded”
3575,2016-11-18,21,22,0,0,0,14284,“needs logging”,“none recorded”,“none recorded”
3576,2016-11-19,32,25,0,0,0,16275,“needs logging”,“none recorded”,“none recorded”
3577,2016-11-20,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3578,2016-11-21,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3579,2016-11-22,25.5,20,0,0,0,14282,“needs logging”,“none recorded”,“none recorded”
3580,2016-11-23,93,,0,0,0,23341,“needs logging”,“none recorded”,“none recorded”
3581,2016-11-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3582,2016-11-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3583,2016-11-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3584,2016-11-27,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3585,2016-11-28,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3586,2016-11-29,14,14,0,0,0,9408,“needs logging”,“none recorded”,“none recorded”
3587,2016-11-30,16,12,0,0,0,8676,“needs logging”,“none recorded”,“none recorded”
3588,2016-12-01,17,15.5,0,0,0,9756,“needs logging”,“none recorded”,“none recorded”
3589,2016-12-02,22.5,24,0,0,0,1447,“needs logging”,“none recorded”,“none recorded”
3590,2016-12-03,30.5,24,0,0,0,17685,“needs logging”,“none recorded”,“none recorded”
3591,2016-12-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3592,2016-12-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3593,2016-12-06,17,13,0,0,0,9356,“needs logging”,“none recorded”,“none recorded”
3594,2016-12-07,16,11.5,0,0,0,7816.35,“needs logging”,“none recorded”,“none recorded”
3595,2016-12-08,15.5,11,0,0,0,6996.5,“needs logging”,“none recorded”,“none recorded”
3596,2016-12-09,21.5,19,0,0,0,11377,“needs logging”,“none recorded”,“none recorded”
3597,2016-12-10,30.5,22,0,0,0,16077,“needs logging”,“none recorded”,“none recorded”
3598,2016-12-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3599,2016-12-12,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3600,2016-12-13,14.5,12,0,0,0,9430,“needs logging”,“none recorded”,“none recorded”
3601,2016-12-14,16.5,14.5,0,0,0,8722,“needs logging”,“none recorded”,“none recorded”
3602,2016-12-15,15.25,13.75,0,0,0,8623,“needs logging”,“none recorded”,“none recorded”
3603,2016-12-16,24.5,22,0,0,0,13687,“needs logging”,“none recorded”,“none recorded”
3604,2016-12-17,33.5,23.5,0,0,0,18491,“needs logging”,“none recorded”,“none recorded”
3605,2016-12-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3606,2016-12-19,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3607,2016-12-20,24,16,0,0,0,12299,“needs logging”,“none recorded”,“none recorded”
3608,2016-12-21,20,13,0,0,0,10307.9,“needs logging”,“none recorded”,“none recorded”
3609,2016-12-22,21,14,0,0,0,10862,“needs logging”,“none recorded”,“none recorded”
3610,2016-12-23,28.5,15,0,0,0,12339.35,“needs logging”,“none recorded”,“none recorded”
3611,2016-12-24,34,,0,0,0,9258.92,“needs logging”,“none recorded”,“none recorded”
3612,2016-12-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3613,2016-12-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3614,2016-12-27,19.5,18,0,0,0,14035,“needs logging”,“none recorded”,“none recorded”
3615,2016-12-28,27,17,0,0,0,13994,“needs logging”,“none recorded”,“none recorded”
3616,2016-12-29,24,16.25,0,0,0,12919,“needs logging”,“none recorded”,“none recorded”
3617,2016-12-30,26,18,0,0,0,13757,“needs logging”,“none recorded”,“none recorded”
3618,2016-12-31,55,,0,0,0,16067,“needs logging”,“none recorded”,“none recorded”
3619,2017-01-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3620,2017-01-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3621,2017-01-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3622,2017-01-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3623,2017-01-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3624,2017-01-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3625,2017-01-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3626,2017-01-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3627,2017-01-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3628,2017-01-10,13.5,13.5,0,0,0,8626,“needs logging”,“none recorded”,“none recorded”
3629,2017-01-11,16,13,0,0,0,8851,“needs logging”,“none recorded”,“none recorded”
3630,2017-01-12,18,15,0,0,0,10210,“needs logging”,“none recorded”,“none recorded”
3631,2017-01-13,25,25,0,0,0,15408,“needs logging”,“none recorded”,“none recorded”
3632,2017-01-14,33,25,0,0,0,18627.78,“needs logging”,“none recorded”,“none recorded”
3633,2017-01-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3634,2017-01-16,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3635,2017-01-17,13.5,13.5,0,0,0,8929,“needs logging”,“none recorded”,“none recorded”
3636,2017-01-18,15,11,0,0,0,7750,“needs logging”,“none recorded”,“none recorded”
3637,2017-01-19,16.5,16,0,0,0,10172.92,“needs logging”,“none recorded”,“none recorded”
3638,2017-01-20,21,17,0,0,0,11508,“needs logging”,“none recorded”,“none recorded”
3639,2017-01-21,29,21,0,0,0,1327.26,“needs logging”,“none recorded”,“none recorded”
3640,2017-01-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3641,2017-01-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3642,2017-01-24,15,12.5,0,0,0,8676,“needs logging”,“none recorded”,“none recorded”
3643,2017-01-25,15.5,14.5,0,0,0,10619,“needs logging”,“none recorded”,“none recorded”
3644,2017-01-26,12.5,16.5,0,0,0,8929,“needs logging”,“none recorded”,“none recorded”
3645,2017-01-27,25.5,21.5,0,0,0,13670,“needs logging”,“none recorded”,“none recorded”
3646,2017-01-28,32,24,0,0,0,19458,“needs logging”,“none recorded”,“none recorded”
3647,2017-01-29,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3648,2017-01-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3649,2017-01-31,13,12,0,0,0,7972,“needs logging”,“none recorded”,“none recorded”
3650,2017-02-01,15.5,14.5,0,0,0,9988.92,“needs logging”,“none recorded”,“none recorded”
3651,2017-02-02,18,16,0,0,0,11457,“needs logging”,“none recorded”,“none recorded”
3652,2017-02-03,22.5,23,0,0,0,14464,“needs logging”,“none recorded”,“none recorded”
3653,2017-02-04,30.5,23.5,0,0,0,17756,“needs logging”,“none recorded”,“none recorded”
3654,2017-02-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
3655,2017-02-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
